date,security,PX_LAST
2015-03-31,EHPIEU Index,-0.33
2015-03-31,CNCPIYOY Index,1.4
2015-03-31,JNCPIYOY Index,2.3
2015-03-31,CPI YOY Index,-0.1
2015-04-30,JNCPIYOY Index,0.6
2015-04-30,CPI YOY Index,-0.2
2015-04-30,CNCPIYOY Index,1.5
2015-05-31,JNCPIYOY Index,0.5
2015-05-31,CPI YOY Index,0.0
2015-05-31,CNCPIYOY Index,1.2
2015-06-30,JNCPIYOY Index,0.4
2015-06-30,EHPIEU Index,0.43
2015-06-30,CNCPIYOY Index,1.4
2015-06-30,CPI YOY Index,0.1
2015-07-31,JNCPIYOY Index,0.2
2015-07-31,CNCPIYOY Index,1.6
2015-07-31,CPI YOY Index,0.2
2015-08-31,JNCPIYOY Index,0.2
2015-08-31,CNCPIYOY Index,2.0
2015-08-31,CPI YOY Index,0.2
2015-09-30,EHPIEU Index,0.37
2015-09-30,JNCPIYOY Index,0.0
2015-09-30,CNCPIYOY Index,1.6
2015-09-30,CPI YOY Index,0.0
2015-10-31,JNCPIYOY Index,0.3
2015-10-31,CPI YOY Index,0.2
2015-10-31,CNCPIYOY Index,1.3
2015-11-30,JNCPIYOY Index,0.3
2015-11-30,CPI YOY Index,0.5
2015-11-30,CNCPIYOY Index,1.5
2015-12-31,JNCPIYOY Index,0.2
2015-12-31,CPI YOY Index,0.7
2015-12-31,CNCPIYOY Index,1.6
2015-12-31,EHPIEU Index,0.27
2016-01-31,JNCPIYOY Index,-0.1
2016-01-31,CNCPIYOY Index,1.8
2016-01-31,CPI YOY Index,1.4
2016-02-29,JNCPIYOY Index,0.2
2016-02-29,CNCPIYOY Index,2.3
2016-02-29,CPI YOY Index,1.0
2016-03-31,EHPIEU Index,0.07
2016-03-31,CNCPIYOY Index,2.3
2016-03-31,CPI YOY Index,0.9
2016-03-31,JNCPIYOY Index,0.0
2016-04-30,CPI YOY Index,1.1
2016-04-30,JNCPIYOY Index,-0.3
2016-04-30,CNCPIYOY Index,2.3
2016-05-31,CPI YOY Index,1.0
2016-05-31,CNCPIYOY Index,2.0
2016-05-31,JNCPIYOY Index,-0.5
2016-06-30,EHPIEU Index,-0.13
2016-06-30,CPI YOY Index,1.0
2016-06-30,CNCPIYOY Index,1.9
2016-06-30,JNCPIYOY Index,-0.4
2016-07-31,CPI YOY Index,0.8
2016-07-31,CNCPIYOY Index,1.8
2016-07-31,JNCPIYOY Index,-0.4
2016-08-31,CNCPIYOY Index,1.3
2016-08-31,JNCPIYOY Index,-0.5
2016-08-31,CPI YOY Index,1.1
2016-09-30,CNCPIYOY Index,1.9
2016-09-30,CPI YOY Index,1.5
2016-09-30,EHPIEU Index,0.27
2016-09-30,JNCPIYOY Index,-0.5
2016-10-31,JNCPIYOY Index,0.1
2016-10-31,CNCPIYOY Index,2.1
2016-10-31,CPI YOY Index,1.6
2016-11-30,JNCPIYOY Index,0.5
2016-11-30,CNCPIYOY Index,2.3
2016-11-30,CPI YOY Index,1.7
2016-12-31,EHPIEU Index,0.73
2016-12-31,CNCPIYOY Index,2.1
2016-12-31,JNCPIYOY Index,0.3
2016-12-31,CPI YOY Index,2.1
2017-01-31,CPI YOY Index,2.5
2017-01-31,CNCPIYOY Index,2.5
2017-01-31,JNCPIYOY Index,0.4
2017-02-28,CPI YOY Index,2.7
2017-02-28,JNCPIYOY Index,0.3
2017-02-28,CNCPIYOY Index,0.8
2017-03-31,CPI YOY Index,2.4
2017-03-31,JNCPIYOY Index,0.2
2017-03-31,EHPIEU Index,1.73
2017-03-31,CNCPIYOY Index,0.9
2017-04-30,CNCPIYOY Index,1.2
2017-04-30,JNCPIYOY Index,0.4
2017-04-30,CPI YOY Index,2.2
2017-05-31,JNCPIYOY Index,0.4
2017-05-31,CNCPIYOY Index,1.5
2017-05-31,CPI YOY Index,1.9
2017-06-30,EHPIEU Index,1.53
2017-06-30,CNCPIYOY Index,1.5
2017-06-30,CPI YOY Index,1.6
2017-06-30,JNCPIYOY Index,0.4
2017-07-31,CNCPIYOY Index,1.4
2017-07-31,JNCPIYOY Index,0.4
2017-07-31,CPI YOY Index,1.7
2017-08-31,CNCPIYOY Index,1.8
2017-08-31,JNCPIYOY Index,0.7
2017-08-31,CPI YOY Index,1.9
2017-09-30,CNCPIYOY Index,1.6
2017-09-30,EHPIEU Index,1.47
2017-09-30,JNCPIYOY Index,0.7
2017-09-30,CPI YOY Index,2.2
2017-10-31,CPI YOY Index,2.0
2017-10-31,JNCPIYOY Index,0.2
2017-10-31,CNCPIYOY Index,1.9
2017-11-30,CPI YOY Index,2.2
2017-11-30,JNCPIYOY Index,0.6
2017-11-30,CNCPIYOY Index,1.7
2017-12-31,CPI YOY Index,2.1
2017-12-31,CNCPIYOY Index,1.8
2017-12-31,EHPIEU Index,1.4
2017-12-31,JNCPIYOY Index,1.0
2018-01-31,JNCPIYOY Index,1.4
2018-01-31,CPI YOY Index,2.1
2018-01-31,CNCPIYOY Index,1.5
2018-02-28,JNCPIYOY Index,1.5
2018-02-28,CPI YOY Index,2.2
2018-02-28,CNCPIYOY Index,2.9
2018-03-31,JNCPIYOY Index,1.1
2018-03-31,EHPIEU Index,1.27
2018-03-31,CPI YOY Index,2.4
2018-03-31,CNCPIYOY Index,2.1
2018-04-30,CNCPIYOY Index,1.8
