date,security,PE_RATIO,BEST_PE_RATIO
2015-07-01,S5MATR Index,17.4449,17.7284
2015-07-01,S5UTIL Index,15.7238,15.5337
2015-07-01,S5ENRS Index,15.6298,26.9626
2015-07-01,S5HLTH Index,23.3459,18.776
2015-07-01,S5COND Index,21.9559,20.2643
2015-07-01,S5TELS Index,14.7873,13.316
2015-07-01,S5INDU Index,16.6247,16.4614
2015-07-01,S5INFT Index,18.006,16.6961
2015-07-01,S5CONS Index,19.1429,19.7496
2015-07-01,S5FINL Index,14.6766,14.6512
2015-07-02,S5ENRS Index,15.6979,27.0782
2015-07-02,S5MATR Index,17.4089,17.6566
2015-07-02,S5UTIL Index,15.9392,15.4782
2015-07-02,S5FINL Index,14.6237,14.5933
2015-07-02,S5INDU Index,16.6162,16.4634
2015-07-02,S5COND Index,21.9279,20.2382
2015-07-02,S5HLTH Index,23.272,18.7511
2015-07-02,S5INFT Index,18.0352,16.7226
2015-07-02,S5TELS Index,14.8352,13.3448
2015-07-02,S5CONS Index,19.1336,19.7162
2015-07-03,S5INDU Index,16.6162,16.4634
2015-07-03,S5UTIL Index,15.9392,15.5144
2015-07-03,S5TELS Index,14.8352,13.3448
2015-07-03,S5ENRS Index,15.6979,27.1033
2015-07-03,S5HLTH Index,23.272,18.7517
2015-07-03,S5MATR Index,17.4089,17.6617
2015-07-03,S5INFT Index,18.0352,16.7233
2015-07-03,S5COND Index,21.9279,20.2382
2015-07-03,S5FINL Index,14.6237,14.5933
2015-07-03,S5CONS Index,19.1336,19.7168
2015-07-06,S5CONS Index,19.1278,19.775
2015-07-06,S5INFT Index,17.9527,16.6596
2015-07-06,S5COND Index,21.8749,20.204
2015-07-06,S5FINL Index,14.5737,14.5471
2015-07-06,S5INDU Index,16.5189,16.3836
2015-07-06,S5ENRS Index,15.4996,26.7652
2015-07-06,S5UTIL Index,15.9792,15.5468
2015-07-06,S5MATR Index,17.2527,17.4665
2015-07-06,S5TELS Index,14.7825,13.2974
2015-07-06,S5HLTH Index,23.2451,18.7612
2015-07-07,S5FINL Index,14.5926,14.5589
2015-07-07,S5ENRS Index,15.6367,26.983
2015-07-07,S5INDU Index,16.6534,16.5309
2015-07-07,S5HLTH Index,23.3424,18.844
2015-07-07,S5TELS Index,14.8544,13.3602
2015-07-07,S5INFT Index,17.9602,16.7036
2015-07-07,S5COND Index,22.0514,20.37
2015-07-07,S5UTIL Index,16.3757,15.9327
2015-07-07,S5CONS Index,19.5098,20.1587
2015-07-07,S5MATR Index,17.195,17.5593
2015-07-08,S5UTIL Index,16.2926,15.8433
2015-07-08,S5HLTH Index,22.9651,18.5437
2015-07-08,S5FINL Index,14.3363,14.2936
2015-07-08,S5COND Index,21.6408,19.9959
2015-07-08,S5MATR Index,16.8221,17.2442
2015-07-08,S5TELS Index,14.5515,13.0877
2015-07-08,S5CONS Index,19.3057,19.9504
2015-07-08,S5INDU Index,16.3562,16.2479
2015-07-08,S5ENRS Index,15.3303,26.4236
2015-07-08,S5INFT Index,17.661,16.3974
2015-07-09,S5COND Index,21.7307,20.0771
2015-07-09,S5FINL Index,14.4465,14.4059
2015-07-09,S5HLTH Index,23.0814,18.6375
2015-07-09,S5UTIL Index,16.1181,15.6737
2015-07-09,S5MATR Index,16.8765,17.3873
2015-07-09,S5ENRS Index,15.389,26.497
2015-07-09,S5CONS Index,19.3154,19.8741
2015-07-09,S5INDU Index,16.4138,16.3148
2015-07-09,S5INFT Index,17.6046,16.3407
2015-07-09,S5TELS Index,14.4307,12.9791
2015-07-10,S5INFT Index,17.8834,16.5613
2015-07-10,S5CONS Index,19.5203,20.1017
2015-07-10,S5MATR Index,17.1229,17.6438
2015-07-10,S5FINL Index,14.6218,14.5946
2015-07-10,S5TELS Index,14.6061,13.137
2015-07-10,S5COND Index,22.0445,20.3677
2015-07-10,S5ENRS Index,15.4671,26.6469
2015-07-10,S5HLTH Index,23.3895,18.8675
2015-07-10,S5UTIL Index,16.2057,15.7872
2015-07-10,S5INDU Index,16.5821,16.5073
2015-07-13,S5UTIL Index,16.2102,15.8039
2015-07-13,S5ENRS Index,15.5645,26.6911
2015-07-13,S5TELS Index,14.6905,13.2125
2015-07-13,S5FINL Index,14.7809,14.7697
2015-07-13,S5CONS Index,19.714,20.301
2015-07-13,S5MATR Index,17.3025,17.8248
2015-07-13,S5COND Index,22.3682,20.6671
2015-07-13,S5HLTH Index,23.58,19.0197
2015-07-13,S5INFT Index,18.1738,16.8477
2015-07-13,S5INDU Index,16.7539,16.6902
2015-07-14,S5MATR Index,17.3986,17.8971
2015-07-14,S5COND Index,22.3978,20.6807
2015-07-14,S5UTIL Index,16.1908,15.7845
2015-07-14,S5ENRS Index,15.6944,26.8749
2015-07-14,S5HLTH Index,23.8117,19.2388
2015-07-14,S5TELS Index,14.7652,13.2797
2015-07-14,S5INDU Index,16.8044,16.7495
2015-07-14,S5CONS Index,19.748,20.3353
2015-07-14,S5FINL Index,14.8392,14.8387
2015-07-14,S5INFT Index,18.2442,16.922
2015-07-15,S5FINL Index,14.9486,14.9335
2015-07-15,S5MATR Index,17.2539,17.7678
2015-07-15,S5CONS Index,19.6838,20.2726
2015-07-15,S5INDU Index,16.7486,16.6888
2015-07-15,S5COND Index,22.37,20.6561
2015-07-15,S5ENRS Index,15.4407,26.4437
2015-07-15,S5TELS Index,14.6665,13.3328
2015-07-15,S5UTIL Index,16.2688,15.8638
